"YEARMONTHWEEK","total","Gangnam","Gangdong","Gangbuk","Gangseo","Gwanak","Gwangjin","Guro","Geumcheon","Nowon","Dobong","Dongdaemun","Dongjak","Mapo","Seodaemun","Seocho","Seongdong","Seongbuk","Songpa","Yangcheon","Yeongdeungpo","Yongsan","Eunpyeong","Jongno","Jung","Jungnang"
"2020-07-01",71,2,3,0,0,17,0,2,3,4,0,1,4,6,0,4,1,1,2,0,4,2,2,1,1,7
"2020-07-02",47,4,3,0,3,2,2,1,0,3,0,1,4,4,3,0,1,3,0,0,3,1,0,0,1,4
"2020-07-03",58,4,5,1,0,6,1,1,4,1,1,1,4,3,1,1,2,1,12,0,0,1,3,2,2,0
"2020-07-04",91,3,1,0,20,1,2,1,2,0,1,3,5,1,2,1,4,2,27,1,1,0,6,2,2,0
"2020-07-05",42,2,2,3,4,6,0,1,0,0,0,0,0,4,0,3,0,2,4,1,1,1,1,2,2,0
"2020-08-01",68,3,0,0,4,1,1,0,0,0,6,2,2,5,1,4,4,9,2,0,2,6,3,1,2,0
"2020-08-02",312,9,7,11,14,11,13,2,3,20,12,12,8,7,6,18,4,64,14,8,5,7,16,1,5,10
"2020-08-03",903,31,52,40,41,21,28,25,7,68,21,36,37,31,15,27,10,109,71,22,14,15,53,16,10,40
"2020-08-04",884,31,29,23,42,56,30,29,19,82,22,18,40,32,25,24,10,51,67,33,41,18,37,12,11,43
"2020-09-01",540,36,27,21,27,41,18,3,8,38,21,14,26,14,14,20,16,24,18,19,16,7,30,8,5,31
"2020-09-02",356,17,11,10,16,45,8,8,7,18,14,8,18,4,12,11,6,13,24,8,14,4,27,15,1,6
"2020-09-03",302,33,4,8,15,25,4,9,3,20,7,7,13,8,9,15,4,9,32,14,12,2,11,2,1,8
"2020-09-04",240,9,4,2,21,29,3,12,5,6,30,2,17,6,2,10,5,9,9,4,12,5,8,4,3,5
"2020-10-01",164,5,2,2,2,19,3,7,3,3,10,11,11,7,2,3,6,5,3,0,4,6,3,1,0,3
"2020-10-02",157,6,4,10,4,17,5,3,1,12,11,10,5,5,4,6,5,1,8,0,6,5,1,0,1,3
"2020-10-03",155,8,8,1,4,28,0,4,1,7,3,6,6,7,4,4,1,7,11,3,1,7,6,5,4,6
