"YEARMONTHWEEK","total","Gangnam","Gangdong","Gangbuk","Gangseo","Gwanak","Gwangjin","Guro","Geumcheon","Nowon","Dobong","Dongdaemun","Dongjak","Mapo","Seodaemun","Seocho","Seongdong","Seongbuk","Songpa","Yangcheon","Yeongdeungpo","Yongsan","Eunpyeong","Jongno","Jung","Jungnang"
"2020-07-01",8548958,1088452,218526,172193,353174,240716,245042,306436,233991,257594,143893,258335,241061,462061,241069,660534,289056,238497,476620,230480,516332,276754,160346,499219,574036,164541
"2020-07-02",8459075,1082560,214854,170527,351054,240324,242455,297354,240847,248120,142030,251423,237641,460767,237986,661541,283264,231726,472618,229331,511688,271246,157628,498007,566172,157912
"2020-07-03",8555308,1088139,218000,172284,347616,244197,244606,303586,232769,254857,143389,254793,246942,466970,241908,664407,288206,233539,483921,232573,518422,279534,159076,503918,568389,163267
"2020-07-04",8559673,1087601,218518,173985,345020,245473,243358,304072,231076,255310,144299,254895,247293,467677,241543,662926,285862,232229,484382,232334,515738,282251,161411,509592,570373,162455
"2020-07-05",8356034,1067399,211471,166038,344912,238812,234460,297821,226079,249446,137653,246481,238713,452556,234609,647722,278495,227215,480449,224616,499679,283152,156480,490803,560204,160769
"2020-08-01",8118719,1056188,203676,160390,339819,231433,227072,294403,215312,241625,132237,237458,233039,441069,230003,628468,267223,217749,479139,217753,479483,281701,147758,461042,537603,157076
"2020-08-02",8349387,1084047,207621,165523,350444,238163,232260,302798,225208,249813,137207,246911,238306,458626,236752,651508,277845,218226,489288,226803,492409,286068,151766,495776,523082,162937
"2020-08-03",7058238,881898,182115,144921,306744,214388,203058,268372,201134,214190,128730,221999,208421,370685,202559,527796,245472,190858,397080,208837,422336,229215,138915,368544,432077,147894
"2020-08-04",6747981,844399,173066,135399,290953,200751,186125,261071,208236,201617,122602,213885,200890,342339,189217,508717,243338,184822,379867,191149,418880,212921,130155,340660,423024,143898
"2020-09-01",6419418,759507,164753,130058,271032,186799,179869,254739,202604,191197,119503,207842,189879,321607,178198,479705,234032,183107,362873,172762,414032,210014,124206,331127,412153,137820
"2020-09-02",6717441,802844,171852,136999,283657,193005,182085,267178,208538,199726,122947,218439,197705,342700,187226,503726,243881,190873,382291,181759,416721,218970,127319,356454,440133,140413
"2020-09-03",7706972,950366,196209,155504,316869,222356,214615,293036,225645,232262,137337,244839,228920,412397,218655,585008,273529,216500,432915,213430,467024,249832,141726,421813,500068,156117
"2020-09-04",8104052,998393,205923,162475,332607,231664,227161,300151,233155,244888,144351,258493,237422,437347,231304,617421,285542,229507,457491,220618,484800,267599,148384,453674,533094,160588
"2020-10-01",6639207,627740,191755,179156,311215,224082,214559,266627,183478,255231,160889,215066,216102,356469,195706,418945,223688,216551,387462,210477,369240,219907,172275,312928,330394,179265
"2020-10-02",7911542,967636,203366,163092,325825,230490,231551,292315,217781,239551,139096,242639,231239,437993,226485,591498,273889,225083,456864,215549,466748,267981,148155,452480,507564,156672
"2020-10-03",8570616,1080476,221251,169112,350912,247198,240867,319387,238162,258466,144361,264343,246834,458883,244071,664520,293061,237470,484610,227891,510852,283431,154937,495422,568822,165277
"2020-10-04",8712504,1101196,224684,172608,354420,255435,242949,320142,238646,264798,146023,270646,251190,471062,247676,669208,296830,242300,493100,229382,514799,289141,156238,511370,580406,168255
"2020-10-05",8790334,1113100,224495,172531,355448,256962,246552,328460,236008,266319,146962,270621,251885,473295,249747,673075,300033,244485,501394,231946,519383,291851,157293,514788,592816,170885
"2020-11-01",8701956,1108861,217592,170255,354034,250395,241606,319613,236269,256822,144862,264860,249849,466518,246332,673230,297154,237700,498216,229541,514985,288219,153116,523820,593935,164172
"2020-11-02",8787657,1112390,221666,172057,355529,252370,244471,330390,236315,259845,146026,268064,254626,476347,248245,685745,299083,241026,495714,229770,521549,292280,155189,524402,595809,168749
"2020-11-03",8293324,1065798,212063,163143,339460,240084,229412,323568,228879,243878,139769,252358,238692,433875,230614,648394,283648,228327,466006,224439,490925,270748,147726,475782,554152,161584
"2020-11-04",7414442,940510,195409,148674,306424,202724,201004,298222,221979,225418,132055,231189,190868,364848,207568,577404,260022,211529,423952,207522,450725,233870,139163,402306,489586,151471
"2020-12-01",7148081,899955,184845,141764,290472,210939,192536,283451,215911,213837,127171,221514,209936,348437,199437,548796,254749,201894,402343,196627,443210,223011,131451,386521,473649,145625
"2020-12-02",6712823,838185,174205,132603,277728,207502,179461,273277,207279,201366,119293,215140,197553,322018,196451,510969,235785,190403,378827,179852,414525,210188,124670,350821,436571,138151
"2020-12-03",6379741,790565,167563,125618,264183,198559,171083,264081,201927,190398,113582,201211,180334,302736,180500,488760,227274,180123,364914,173237,399611,201173,120621,325662,410175,135851
"2020-12-04",6135031,709823,166089,129857,267473,202778,168390,266102,186981,192288,114768,194881,178534,295791,173903,445724,220256,175753,354706,171291,375630,195132,123670,306026,384560,134625
"2020-12-05",5893330,662369,161668,129425,271145,195095,166621,275329,179282,196366,114062,186423,171147,277963,165703,423041,217482,169700,338331,167731,357780,181654,123508,276617,351901,132987
"2021-01-01",6350396,802566,164658,125400,276493,188233,165326,289154,202123,186989,104604,193189,177008,302746,174957,493375,239808,171741,360035,167971,395473,194639,113955,318005,416470,125478
"2021-01-02",6856775,858433,179564,134229,298779,205443,178922,306221,210834,203026,114459,215113,186936,332387,189893,529356,254633,186988,392350,181936,424972,208265,125892,352854,447843,137447
"2021-01-03",7327991,925630,191673,144903,316003,221266,194375,319499,216661,216083,120593,226089,202256,365874,205014,560858,273689,198075,418804,196366,447274,225973,131678,387797,479261,142297
"2021-01-04",7468631,946787,195768,145050,319575,225751,199619,309778,217978,221423,122647,229019,207108,376976,208332,573229,276823,203349,431868,202127,457822,234323,135069,396569,485280,146361
"2021-02-01",7478705,961254,197469,140090,301724,218685,197344,274270,216288,213544,123923,234050,205603,386616,206946,582777,268481,205748,444415,207828,465304,242825,135196,412478,488699,147148
"2021-02-02",6542764,690977,190274,155744,294878,219440,189132,252337,184289,224460,140318,209050,195790,332054,187128,445649,226113,205029,393036,204891,386335,213983,153763,331077,355921,161096
"2021-02-03",7721122,1000525,202959,145482,315163,227432,209734,279280,215803,224041,122453,232308,210213,407877,217558,596982,274164,213132,459767,214575,480133,253012,138791,430424,499431,149883
"2021-02-04",8194937,1038858,215720,154185,335633,246915,225570,290201,223998,237642,130763,247714,223605,435658,229381,622251,290027,227019,487156,224237,531334,271548,148635,465358,534750,156779
"2021-03-01",7733451,947077,205043,153722,317491,246465,218961,281412,206204,237601,129616,241265,218771,402509,219053,578565,274494,223082,449430,213717,493126,256766,142777,427432,494526,154346
"2021-03-02",8338039,1039356,219064,160413,337099,255439,230443,301699,225806,243917,136718,259338,238073,433976,239979,635088,299297,237688,478018,222406,536271,275537,147885,477023,545674,161832
"2021-03-03",8340180,1038391,218995,160428,339977,248857,231604,300201,225587,248550,135297,260614,246411,434966,238382,639331,298333,239982,481258,221968,525123,277605,149091,472528,544040,162661
"2021-03-04",8335848,1036970,219231,159489,341852,248498,231654,300709,225585,246390,134926,260873,247594,428620,237870,640853,298200,238993,483057,221591,526182,277319,148755,473411,546119,161107
"2021-04-01",8306958,1021190,216867,161991,338291,238308,235912,300286,227872,248673,134882,256854,237208,429010,232399,636436,304490,232477,491725,224633,540627,275174,148241,469822,543407,160183
"2021-04-02",8255680,1020228,213842,161196,335660,231089,238709,298542,225839,243563,135737,250404,229834,435397,229520,633187,303101,228795,480373,221919,527856,278708,146405,480459,548400,156917
