"YEARMONTHWEEK","DIST","mobility"
"2019-01-01","Gangnam.gu",995334
"2019-01-02","Gangnam.gu",1175519
"2019-01-03","Gangnam.gu",1188110
"2019-01-04","Gangnam.gu",1213995
"2019-01-05","Gangnam.gu",1119922
"2019-02-01","Gangnam.gu",688899
"2019-02-02","Gangnam.gu",1180902
"2019-02-03","Gangnam.gu",1174271
"2019-02-04","Gangnam.gu",1058742
"2019-03-01","Gangnam.gu",1166828
"2019-03-02","Gangnam.gu",1170220
"2019-03-03","Gangnam.gu",1158888
"2019-03-04","Gangnam.gu",1166443
"2019-04-01","Gangnam.gu",1149883
"2019-04-02","Gangnam.gu",1132413
"2019-04-03","Gangnam.gu",1138421
"2019-04-04","Gangnam.gu",1159857
"2019-05-01","Gangnam.gu",1106801
"2019-05-02","Gangnam.gu",1114983
"2019-05-03","Gangnam.gu",1169273
"2019-05-04","Gangnam.gu",1189358
"2019-05-05","Gangnam.gu",1185677
"2019-06-01","Gangnam.gu",1158052
"2019-06-02","Gangnam.gu",1225067
"2019-06-03","Gangnam.gu",1166832
"2019-06-04","Gangnam.gu",1174727
"2019-07-01","Gangnam.gu",1185954
"2019-07-02","Gangnam.gu",1198860
"2019-07-03","Gangnam.gu",1199252
"2019-07-04","Gangnam.gu",1190898
"2019-08-01","Gangnam.gu",1133562
"2019-08-02","Gangnam.gu",1147176
"2019-08-03","Gangnam.gu",1014712
"2019-08-04","Gangnam.gu",1120710
"2019-08-05","Gangnam.gu",1186487
"2019-09-01","Gangnam.gu",1155458
"2019-09-02","Gangnam.gu",768779
"2019-09-03","Gangnam.gu",1177874
"2019-09-04","Gangnam.gu",1118978
"2019-10-01","Gangnam.gu",1063722
"2019-10-02","Gangnam.gu",1062412
"2019-10-03","Gangnam.gu",1171148
"2019-10-04","Gangnam.gu",1181925
"2019-10-05","Gangnam.gu",1181252
"2019-11-01","Gangnam.gu",1179235
"2019-11-02","Gangnam.gu",1171831
"2019-11-03","Gangnam.gu",1186687
"2019-11-04","Gangnam.gu",1191282
"2019-12-01","Gangnam.gu",1188572
"2019-12-02","Gangnam.gu",1223518
"2019-12-03","Gangnam.gu",1268205
"2019-12-04","Gangnam.gu",1144156
"2020-01-01","Gangnam.gu",1028589
"2020-01-02","Gangnam.gu",1158732
"2020-01-03","Gangnam.gu",1183711
"2020-01-04","Gangnam.gu",909085
"2020-01-05","Gangnam.gu",980751
"2020-02-01","Gangnam.gu",1089519
"2020-02-02","Gangnam.gu",1104232
"2020-02-03","Gangnam.gu",1073335
"2020-02-04","Gangnam.gu",841233
"2020-03-01","Gangnam.gu",802961
"2020-03-02","Gangnam.gu",865666
"2020-03-03","Gangnam.gu",878950
"2020-03-04","Gangnam.gu",885824
"2020-04-01","Gangnam.gu",886730
"2020-04-02","Gangnam.gu",914027
"2020-04-03","Gangnam.gu",863930
"2020-04-04","Gangnam.gu",981041
"2020-04-05","Gangnam.gu",867835
"2020-05-01","Gangnam.gu",927424
"2020-05-02","Gangnam.gu",1015900
"2020-05-03","Gangnam.gu",1020217
"2020-05-04","Gangnam.gu",1031806
"2020-06-01","Gangnam.gu",1023915
"2020-06-02","Gangnam.gu",1044211
"2020-06-03","Gangnam.gu",1065470
"2020-06-04","Gangnam.gu",1075959
"2020-07-01","Gangnam.gu",1088452
"2020-07-02","Gangnam.gu",1082560
"2020-07-03","Gangnam.gu",1088139
"2020-07-04","Gangnam.gu",1087601
"2020-07-05","Gangnam.gu",1067399
"2020-08-01","Gangnam.gu",1056188
"2020-08-02","Gangnam.gu",1084047
"2020-08-03","Gangnam.gu",881898
"2020-08-04","Gangnam.gu",844399
"2020-09-01","Gangnam.gu",759507
"2020-09-02","Gangnam.gu",802844
"2020-09-03","Gangnam.gu",950366
"2020-09-04","Gangnam.gu",998393
"2020-10-01","Gangnam.gu",627740
"2020-10-02","Gangnam.gu",967636
"2020-10-03","Gangnam.gu",1080476
"2020-10-04","Gangnam.gu",1101196
"2020-10-05","Gangnam.gu",1113100
"2020-11-01","Gangnam.gu",1108861
"2020-11-02","Gangnam.gu",1112390
"2020-11-03","Gangnam.gu",1065798
"2020-11-04","Gangnam.gu",940510
"2020-12-01","Gangnam.gu",899955
"2020-12-02","Gangnam.gu",838185
"2020-12-03","Gangnam.gu",790565
"2020-12-04","Gangnam.gu",709823
"2020-12-05","Gangnam.gu",662369
"2021-01-01","Gangnam.gu",802566
"2021-01-02","Gangnam.gu",858433
"2021-01-03","Gangnam.gu",925630
"2021-01-04","Gangnam.gu",946787
"2021-02-01","Gangnam.gu",961254
"2021-02-02","Gangnam.gu",690977
"2021-02-03","Gangnam.gu",1000525
